sample size	iteration	time
45000	52	7.992
45000	53	8.69
45000	54	8.498
45000	55	7.73
45000	56	8.663
45000	57	8.155
45000	58	8.463
45000	59	8.316
45000	60	8.541
45000	61	8.585
45000	62	8.802
45000	63	8.445
45000	64	8.361
45000	65	8.562
45000	66	8.53
45000	67	8.28
45000	68	8.301
45000	69	8.353
45000	70	8.633
45000	71	8.592
45000	72	8.55
45000	73	8.09
45000	74	8.42
45000	75	8.177
45000	76	8.537
45000	77	8.546
45000	78	8.466
45000	79	8.361
45000	80	8.47
45000	81	8.542
45000	82	8.534
45000	83	7.993
45000	84	8.523
45000	85	8.637
45000	86	8.591
45000	87	8.336
45000	88	8.567
45000	89	8.69
45000	90	8.422
45000	91	8.552
45000	92	8.516
45000	93	8.55
45000	94	8.513
45000	95	8.466
45000	96	8.693
45000	97	8.513
45000	98	8.119
45000	99	8.594
50000	0	10.311
50000	1	9.619
50000	2	10.437
50000	3	10.309
50000	4	10.474
50000	5	10.192
50000	6	9.604
50000	7	9.967
50000	8	9.501
50000	9	10.279
50000	10	10.639
50000	11	10.03
50000	12	10.265
50000	13	9.982
50000	14	9.74
50000	15	9.797
50000	16	9.143
50000	17	9.815
50000	18	9.979
50000	19	9.441
50000	20	9.516
50000	21	9.53
50000	22	9.315
50000	23	9.436
50000	24	9.268
50000	25	9.372
50000	26	9.731
50000	27	9.737
50000	28	9.28
50000	29	9.451
50000	30	9.923
50000	31	9.623
50000	32	9.704
50000	33	9.391
50000	34	9.875
50000	35	9.446
50000	36	9.662
50000	37	9.747
50000	38	9.88
50000	39	9.235
50000	40	9.583
50000	41	9.665
50000	42	9.703
50000	43	9.583
50000	44	9.33
50000	45	9.678
50000	46	9.684
50000	47	9.403
50000	48	9.265
50000	49	9.437
50000	50	9.667
50000	51	9.461
50000	52	9.557
50000	53	9.753
50000	54	9.47
50000	55	9.468
50000	56	8.88
50000	57	9.851
50000	58	9.257
50000	59	9.244
50000	60	9.359
50000	61	9.934
50000	62	9.748
50000	63	9.94
50000	64	9.621
50000	65	10.042
50000	66	9.292
50000	67	9.905
50000	68	9.889
50000	69	9.596
50000	70	9.398
50000	71	9.503
50000	72	9.585
50000	73	9.725
50000	74	9.769
50000	75	10.106
50000	76	9.717
50000	77	9.382
50000	78	9.86
50000	79	9.829
50000	80	9.869
50000	81	9.416
50000	82	9.52
50000	83	9.426
50000	84	10.215
50000	85	10.047
50000	86	9.933
50000	87	10.077
50000	88	9.602
50000	89	9.902
50000	90	9.776
50000	91	8.816
50000	92	10.102
50000	93	9.635
50000	94	9.386
50000	95	9.182
50000	96	9.103
50000	97	9.268
50000	98	9.886
50000	99	9.396
55000	0	10.67
55000	1	10.385
55000	2	10.871
55000	3	11.754
55000	4	11.155
55000	5	10.867
55000	6	11.039
55000	7	11.115
55000	8	10.9
55000	9	11.517
55000	10	11.548
55000	11	11.25
55000	12	11.072
55000	13	10.719
55000	14	11.306
55000	15	11.528
55000	16	11.114
55000	17	11.293
55000	18	11.725
55000	19	10.937
55000	20	11.381
55000	21	11.033
55000	22	11.492
55000	23	11.723
55000	24	11.168
55000	25	11.175
55000	26	10.773
55000	27	11.037
55000	28	11.14
55000	29	11.369
55000	30	11.037
55000	31	11.041
55000	32	11.404
55000	33	11.436
55000	34	11.519
55000	35	11.299
55000	36	10.828
55000	37	10.523
55000	38	11.164
55000	39	11.292
55000	40	10.94
55000	41	11.783
55000	42	11.652
55000	43	11.511
55000	44	10.766
55000	45	11.424
55000	46	10.875
55000	47	11.417
55000	48	11.27
55000	49	11.52
55000	50	11.605
55000	51	11.231
55000	52	11.318
55000	53	10.977
55000	54	11.189
55000	55	11.27
55000	56	11.106
55000	57	11.824
55000	58	11.61
55000	59	11.045
55000	60	11.324
55000	61	11.159
55000	62	10.681
55000	63	10.835
55000	64	10.857
55000	65	11.25
55000	66	10.732
55000	67	11.458
55000	68	10.827
55000	69	11.418
55000	70	10.568
55000	71	11.089
55000	72	10.709
55000	73	10.837
55000	74	11.39
55000	75	11.17
55000	76	11.301
55000	77	11.58
55000	78	11.66
55000	79	11.426
55000	80	11.228
55000	81	11.334
55000	82	11.31
55000	83	10.716
55000	84	10.832
55000	85	11.192
55000	86	11.633
55000	87	11.068
55000	88	11.559
55000	89	11.207
55000	90	11.192
55000	91	11.021
55000	92	11.428
55000	93	11.11
55000	94	10.734
55000	95	11.053
55000	96	10.493
55000	97	10.951
55000	98	11.746
55000	99	10.812
60000	0	12.199
60000	1	12.423
60000	2	12.525
60000	3	12.568
60000	4	12.587
60000	5	12.646
60000	6	12.421
60000	7	12.81
60000	8	12.939
60000	9	12.24
60000	10	12.795
60000	11	12.72
60000	12	12.974
60000	13	12.817
60000	14	13.226
60000	15	12.568
60000	16	13.988
60000	17	13.132
60000	18	12.761
60000	19	13.368
60000	20	12.674
60000	21	13.107
60000	22	12.701
60000	23	12.505
60000	24	12.514
60000	25	12.343
60000	26	12.55
60000	27	11.976
60000	28	12.043
60000	29	12.463
60000	30	12.435
60000	31	12.736
60000	32	12.513
60000	33	12.18
60000	34	12.526
60000	35	12.647
60000	36	12.674
60000	37	12.578
60000	38	12.823
60000	39	12.225
60000	40	12.625
60000	41	12.417
60000	42	12.729
60000	43	12.173
60000	44	12.609
60000	45	12.829
60000	46	12.102
60000	47	12.357
60000	48	12.657
60000	49	12.663
60000	50	13.085
60000	51	13.061
60000	52	12.43
60000	53	13.05
60000	54	13.283
60000	55	13.451
60000	56	12.942
60000	57	12.299
60000	58	12.391
60000	59	13.687
60000	60	13.116
60000	61	12.856
60000	62	13.218
60000	63	13.815
60000	64	12.335
60000	65	12.199
60000	66	12.557
60000	67	13.03
60000	68	13.243
60000	69	12.472
60000	70	11.671
60000	71	12.101
60000	72	12.431
60000	73	12.005
60000	74	12.684
60000	75	12.995
60000	76	12.694
60000	77	12.576
60000	78	12.354
60000	79	12.537
60000	80	12.37
60000	81	12.342
60000	82	13.573
60000	83	13.41
60000	84	13.883
60000	85	13.198
60000	86	12.891
60000	87	12.372
60000	88	13.544
60000	89	12.869
60000	90	13.569
60000	91	13.6
60000	92	13.516
60000	93	13.709
60000	94	12.578
60000	95	13.08
60000	96	12.577
60000	97	12.645
60000	98	12.634
60000	99	12.95
65000	0	15.089
65000	1	13.882
65000	2	14.889
65000	3	14.35
65000	4	15.017
65000	5	15.019
65000	6	14.985
65000	7	14.983
65000	8	14.619
65000	9	14.4
65000	10	14.728
65000	11	14.754
65000	12	15.041
65000	13	14.887
65000	14	14.731
65000	15	14.652
65000	16	14.067
65000	17	14.545
65000	18	14.685
65000	19	14.479
65000	20	13.564
65000	21	15.083
65000	22	14.369
65000	23	13.729
65000	24	14.53
65000	25	14.033
65000	26	14.737
65000	27	14.367
65000	28	13.874
65000	29	13.859
65000	30	13.953
65000	31	13.643
65000	32	15.013
65000	33	13.632
65000	34	14.648
65000	35	14.818
65000	36	13.896
65000	37	13.932
65000	38	14.262
65000	39	14.533
65000	40	15.612
65000	41	14.5
65000	42	14.581
65000	43	14.264
65000	44	13.982
65000	45	14.297
65000	46	14.671
65000	47	14.468
65000	48	14.421
65000	49	14.18
65000	50	14.363
65000	51	14.434
65000	52	13.978
65000	53	14.318
65000	54	14.101
65000	55	13.901
65000	56	14.224
65000	57	14.621
65000	58	15.028
65000	59	14.596
65000	60	15.835
65000	61	14.583
65000	62	14.603
65000	63	14.389
65000	64	14.768
65000	65	14.796
65000	66	14.614
65000	67	14.046
65000	68	13.937
65000	69	14.707
65000	70	14.078
65000	71	13.331
65000	72	14.21
65000	73	14.917
65000	74	15.161
65000	75	14.072
65000	76	14.886
65000	77	14.239
65000	78	13.409
65000	79	14.348
65000	80	14.635
65000	81	14.316
65000	82	14.217
65000	83	14.052
65000	84	14.377
65000	85	13.934
65000	86	13.522
65000	87	14.222
65000	88	14.128
65000	89	15.082
65000	90	14.424
65000	91	14.249
65000	92	14.717
65000	93	14.052
65000	94	14.412
65000	95	14.241
65000	96	14.582
65000	97	14.747
65000	98	14.803
65000	99	13.957
70000	0	16.475
70000	1	16.56
70000	2	15.659
70000	3	15.357
70000	4	16.052
70000	5	16.189
70000	6	17.318
70000	7	15.636
70000	8	16.293
70000	9	15.684
70000	10	15.252
70000	11	16.026
70000	12	16.011
70000	13	16.489
70000	14	15.44
70000	15	17.157
70000	16	16.05
70000	17	16.806
70000	18	15.676
70000	19	16.603
70000	20	17.298
70000	21	16.055
70000	22	17.177
70000	23	17.801
70000	24	16.965
70000	25	16.911
70000	26	15.841
70000	27	15.835
70000	28	17.025
70000	29	17.848
70000	30	16.272
70000	31	16.726
70000	32	16.499
70000	33	16.448
70000	34	16.317
70000	35	16.384
70000	36	16.776
70000	37	16.642
70000	38	16.93
70000	39	15.767
70000	40	15.714
70000	41	17.032
70000	42	15.908
70000	43	15.819
70000	44	15.74
70000	45	16.591
70000	46	16.191
70000	47	16.43
70000	48	16.817
70000	49	15.221
70000	50	15.34
70000	51	15.6
70000	52	16.12
70000	53	16.211
70000	54	15.777
70000	55	16.079
70000	56	16.267
70000	57	16.667
70000	58	16.043
70000	59	16.248
70000	60	15.698
70000	61	15.381
70000	62	15.732
70000	63	15.959
70000	64	15.809
70000	65	15.418
70000	66	16.026
70000	67	15.865
70000	68	15.72
70000	69	16.161
70000	70	15.896
70000	71	15.896
70000	72	16.216
70000	73	16.164
70000	74	16.477
70000	75	16.792
70000	76	16.909
70000	77	16.847
70000	78	16.584
70000	79	16.021
70000	80	16.217
70000	81	16.398
70000	82	17.527
70000	83	16.21
70000	84	16.59
70000	85	16.029
70000	86	15.602
70000	87	15.286
70000	88	15.568
70000	89	15.768
70000	90	10.475
70000	91	9.295
70000	92	9.613
70000	93	9.753
70000	94	10.082
70000	95	9.994
70000	96	10.151
70000	97	10.186
70000	98	10.181
70000	99	10.202
75000	0	11.756
75000	1	11.785
75000	2	11.649
75000	3	11.546
75000	4	11.555
75000	5	11.657
75000	6	11.66
75000	7	11.694
75000	8	11.784
75000	9	11.749
75000	10	11.839
75000	11	11.723
75000	12	11.726
75000	13	11.832
75000	14	11.866
75000	15	11.814
75000	16	11.862
75000	17	11.801
75000	18	11.878
75000	19	11.753
75000	20	11.857
75000	21	11.974
75000	22	11.871
75000	23	14.498
75000	24	16.847
75000	25	17.375
75000	26	18.156
75000	27	18.057
75000	28	17.123
75000	29	17.928
75000	30	17.816
75000	31	13.664
75000	32	10.998
75000	33	11.327
75000	34	15.625
75000	35	17.636
75000	36	16.936
75000	37	11.796
75000	38	14.575
75000	39	12.715
75000	40	15.121
75000	41	14.03
75000	42	12.145
75000	43	15.88
75000	44	14.956
75000	45	18.217
